temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
Torneo de Clausura / Temporada 2024-2025,3,"Jueves, 16 de Enero de 2025",15:45 hrs.,Instalaciones Casa Club Necaxa Cancha 1,Necaxa,América,0,5,[],"[31, 39, 45, 61, 65]",0.0,6.413793103448276,0.0,11.586206896551724,0.034482758620689655,12.89655172413793,6.448275862068965,6.413793103448276,0.0,0.0,3.8620689655172415,1.2758620689655173,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,3,"Jueves, 16 de Enero de 2025",19:00 hrs.,Universitario,Tigres,Atlas,1,2,[60],"[17, 30]",2.1379310344827585,4.275862068965517,10.724137931034482,6.413793103448276,12.862068965517242,0.0,8.586206896551724,6.413793103448276,6.448275862068965,2.1379310344827585,6.448275862068965,6.413793103448276,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,3,"Jueves, 16 de Enero de 2025",21:06 hrs.,Estadio AKRON,Guadalajara,FC Juárez,0,0,[],[],0.0,0.0,12.862068965517242,12.89655172413793,12.862068965517242,12.89655172413793,12.862068965517242,9.655172413793103,0.0,3.206896551724138,3.206896551724138,3.206896551724138,3.206896551724138,0.0
Torneo de Clausura / Temporada 2024-2025,3,"Viernes, 17 de Enero de 2025",19:00 hrs. - 21:00 HC.,Caliente,Club Tijuana,Toluca,3,1,"[46, 58, 74]",[29],2.7586206896551726,0.9310344827586207,7.344827586206897,0.9310344827586207,7.344827586206897,3.689655172413793,4.586206896551724,2.7586206896551726,11.931034482758621,4.586206896551724,0.9310344827586207,0.0,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,4,"Domingo, 19 de Enero de 2025",19:00 hrs.,Estadio BBVA,Rayadas,Puebla F.C.,5,1,"[37, 41, 52, 76, 86]",[21],7.137931034482759,1.4137931034482758,12.862068965517242,0.0,11.448275862068966,0.0,7.137931034482759,5.724137931034483,1.4137931034482758,0.0,0.0,0.0,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,4,"Domingo, 19 de Enero de 2025",20:00 hrs. - 21:00 HC.,El Encanto,Mazatlán FC,Pachuca,0,2,[],"[23, 45]",0.0,3.206896551724138,1.6206896551724137,12.89655172413793,0.0,4.827586206896552,3.206896551724138,4.827586206896552,0.0,4.827586206896552,3.206896551724138,1.6206896551724137,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,4,"Lunes, 20 de Enero de 2025",16:30 hrs.,Nou Camp,León,Tigres,2,2,"[25, 29]","[69, 81]",5.137931034482759,5.137931034482759,7.724137931034483,10.275862068965518,2.586206896551724,5.137931034482759,10.275862068965518,12.89655172413793,5.137931034482759,7.724137931034483,10.275862068965518,10.275862068965518,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,4,"Lunes, 20 de Enero de 2025",15:45 hrs. - 16:45 HC.,Olímpico Benito Juárez,FC Juárez,Pumas,1,1,[3],[37],3.206896551724138,3.206896551724138,9.655172413793103,9.655172413793103,12.862068965517242,3.206896551724138,12.862068965517242,3.206896551724138,6.448275862068965,6.413793103448276,6.448275862068965,9.655172413793103,3.206896551724138,0.0
Torneo de Clausura / Temporada 2024-2025,4,"Lunes, 20 de Enero de 2025",17:00 hrs.,Alfonso Lastras Ramírez,Atlético de San Luis,Club Tijuana,2,0,"[4, 22]",[],4.275862068965517,0.0,4.275862068965517,8.586206896551724,4.275862068965517,12.89655172413793,10.724137931034482,10.724137931034482,10.724137931034482,2.1379310344827585,6.448275862068965,6.413793103448276,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,4,"Lunes, 20 de Enero de 2025",19:00 hrs.,Nemesio Diez,Toluca,Querétaro,1,2,[59],"[19, 89]",1.2758620689655173,2.586206896551724,12.862068965517242,3.8620689655172415,9.0,3.8620689655172415,5.137931034482759,5.137931034482759,2.586206896551724,6.413793103448276,0.0,1.2758620689655173,0.0,0.0
