,temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
131,Torneo de Clausura / Temporada 2024-2025,15,"Domingo, 30 de Marzo de 2025",12:00 hrs.,Nemesio Diez,Toluca,Rayadas,2,2,"[2, 65]","[12, 27]",2.0,2.0,6.0,6.0,4.0,3.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0
132,Torneo de Clausura / Temporada 2024-2025,15,"Domingo, 30 de Marzo de 2025",17:00 hrs.,Alfonso Lastras Ramírez,Atlético de San Luis,Atlas,0,4,[],"[12, 38, 47, 52]",0.0,4.0,1.0,3.0,4.0,4.0,5.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0
133,Torneo de Clausura / Temporada 2024-2025,15,"Domingo, 30 de Marzo de 2025",17:00 hrs.,Estadio AKRON,Guadalajara,Puebla F.C.,3,0,"[52, 66, 80]",[],3.0,0.0,6.0,2.0,9.0,3.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
134,Torneo de Clausura / Temporada 2024-2025,15,"Domingo, 30 de Marzo de 2025",19:06 hrs.,Universitario,Tigres,FC Juárez,0,0,[],[],0.0,0.0,5.0,2.0,4.0,2.0,3.0,5.0,2.0,0.0,2.0,3.0,1.0,1.0
135,Torneo de Clausura / Temporada 2024-2025,16,"Sábado, 12 de Abril de 2025",16:00 hrs.,Victoria,Necaxa,Cruz Azul,1,0,[51],[],1.0,0.0,0.0,12.0,5.0,8.0,3.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0
136,Torneo de Clausura / Temporada 2024-2025,16,"Domingo, 13 de Abril de 2025",12:00 hrs.,Cuauhtémoc,Puebla F.C.,Toluca,1,3,[76],"[11, 47, 84]",1.0,3.0,4.0,5.0,3.0,7.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
137,Torneo de Clausura / Temporada 2024-2025,16,"Domingo, 13 de Abril de 2025",12:00 hrs.,Olímpico Universitario,Pumas,Tigres,2,0,"[13, 63]",[],2.0,0.0,3.0,2.0,5.0,6.0,3.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0
138,Torneo de Clausura / Temporada 2024-2025,16,"Domingo, 13 de Abril de 2025",17:00 hrs.,Jalisco,Atlas,Mazatlán FC,4,1,"[35, 42, 61, 89]",[38],4.0,1.0,3.0,1.0,4.0,4.0,4.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0
139,Torneo de Clausura / Temporada 2024-2025,16,"Domingo, 13 de Abril de 2025",17:00 hrs.,Olímpico Benito Juárez,FC Juárez,Atlético de San Luis,2,0,"[41, 46]",[],2.0,0.0,5.0,4.0,10.0,3.0,5.0,5.0,2.0,0.0,1.0,4.0,0.0,0.0
140,Torneo de Clausura / Temporada 2024-2025,16,"Domingo, 13 de Abril de 2025",17:00 hrs.,Ciudad De Los Deportes,América,Club Tijuana,4,1,"[9, 56, 76, 90]",[44],4.0,1.0,7.0,1.0,19.0,0.0,3.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0
